Party_A_Suspects,Party_B_Suspects
Gregory Nichols,Vincent Harris
Jessica Mason,Timothy Irwin
Jacqueline Salinas,Brian Stewart
Randy Holloway,Kristin Hernandez
Michael Lawson,William Benson
Lisa Lara,Michael Lee
Mrs. Paige Shaw,Daniel Vang
Christina Smith,Angelica Shields
Victoria Perry,Shannon Williams
Louis Allen,Roberto Green
Maria Robinson,Sarah Scott
Craig Taylor,Valerie Allison
Edward Warner,Zoe Phillips
Matthew Harrell,Gregory Wong
Jon Melendez,Tracy Woods
Lori Savage,Susan Oneal
Jennifer Garcia,Sarah Bruce
Brian Schultz,Shawn Davis
Jessica Castillo,Paul Hopkins
Melissa Larson,Joanna Jones
Eric Anderson,Susan Simmons
Hannah Johnson,Francisco Mitchell
Clinton Owens,Richard Davis
Eric Murray,Lindsay Hill
Anita Rice,Raymond Valentine
Jordan Vasquez PhD,Jill Myers
Brett Ruiz,Shannon Mack
Robert Washington,Joanna Brooks
Isaiah Mclaughlin,Jasmine Davidson
Nicholas Bird,Tonya Russo
Tammy Conway,Diana Castro
Jill Cohen,Samuel Smith
Brian Mcdaniel,Megan Hawkins
Joshua Zuniga,Anthony Lopez
Mrs. Melinda Shelton,Jason Solomon
Henry Sanders,Alan Lowery
Luis Castillo,Mr. Edwin Williams
Emily Jones,Adriana Nguyen
Kayla Armstrong,Mark Pierce
Joseph Warner,James Lyons
Miguel Hart,Amber Mendoza
Thomas Rodriguez,Elizabeth Guzman
Ms. Brittany Sims,Christopher Delacruz
Megan Terry,Kendra Ellis
David Morales,Kim Snyder
Patrick Mendoza,Crystal Taylor
Robert Butler,Louis Lucas
Whitney Lloyd,Kevin Boyd
Robert White,Mary Higgins
Jason Compton,Rhonda Bray
Tanya Macdonald,Paul Moore
Doris Fernandez,Kevin Galvan
Molly Brewer,Blake Hill
Cassie Miller,Richard Wolf
Mrs. Ashlee Hall,Elizabeth Burton
Tracy Carroll,William Petty
Katrina Humphrey,Phillip Bright
Jermaine Williams,Faith Serrano
Nicole Sullivan,Rebecca Hart
Kenneth Barajas,James Matthews
Evelyn Ochoa,Willie Raymond
Shannon Gaines,Mr. Alan Bell
